variable,category,with_ai_policy,without_ai_policy,difference,test,p_value,n_nonmissing
District enrollment,Continuous,2480.72,2083.5,397.22,Welch t-test,0.1745,578
Minority enrollment share,Continuous,37.34,32.71,4.63,Welch t-test,0.0672,320
Below poverty share,Continuous,8.05,9.72,-1.66,Welch t-test,0.1768,267
SNAP share,Continuous,9.59,12.16,-2.57,Welch t-test,0.1079,267
district_size_class,large,10 (3.1%),8 (2.8%),0.28,Chi-square,0.0012,601
district_size_class,medium,86 (26.9%),54 (19.2%),7.66,Chi-square,0.0012,601
district_size_class,small,220 (68.8%),200 (71.2%),-2.42,Chi-square,0.0012,601
district_size_class,unknown,4 (1.2%),19 (6.8%),-5.51,Chi-square,0.0012,601
county,Atlantic,8 (2.5%),17 (6.0%),-3.55,Chi-square,0.0007,601
county,Bergen,46 (14.4%),31 (11.0%),3.34,Chi-square,0.0007,601
county,Burlington,17 (5.3%),24 (8.5%),-3.23,Chi-square,0.0007,601
county,Camden,23 (7.2%),20 (7.1%),0.07,Chi-square,0.0007,601
county,Cape May,4 (1.2%),15 (5.3%),-4.09,Chi-square,0.0007,601
county,Cumberland,3 (0.9%),12 (4.3%),-3.33,Chi-square,0.0007,601
county,Essex,14 (4.4%),9 (3.2%),1.17,Chi-square,0.0007,601
county,Gloucester,14 (4.4%),16 (5.7%),-1.32,Chi-square,0.0007,601
county,Hudson,6 (1.9%),6 (2.1%),-0.26,Chi-square,0.0007,601
county,Hunterdon,11 (3.4%),16 (5.7%),-2.26,Chi-square,0.0007,601
county,Mercer,8 (2.5%),3 (1.1%),1.43,Chi-square,0.0007,601
county,"Mercer
(Agency)",1 (0.3%),0 (0.0%),0.31,Chi-square,0.0007,601
county,Middlesex,19 (5.9%),5 (1.8%),4.16,Chi-square,0.0007,601
county,Middleswx,0 (0.0%),1 (0.4%),-0.36,Chi-square,0.0007,601
county,Monmouth,35 (10.9%),21 (7.5%),3.46,Chi-square,0.0007,601
county,Morris,26 (8.1%),13 (4.6%),3.5,Chi-square,0.0007,601
county,Ocean,21 (6.6%),7 (2.5%),4.07,Chi-square,0.0007,601
county,Passaic,13 (4.1%),7 (2.5%),1.57,Chi-square,0.0007,601
county,Salem,5 (1.6%),10 (3.6%),-2.0,Chi-square,0.0007,601
county,Somerset,8 (2.5%),11 (3.9%),-1.41,Chi-square,0.0007,601
county,Sussex,13 (4.1%),13 (4.6%),-0.56,Chi-square,0.0007,601
county,Union,13 (4.1%),10 (3.6%),0.5,Chi-square,0.0007,601
county,Unknown,1 (0.3%),1 (0.4%),-0.04,Chi-square,0.0007,601
county,Warren,11 (3.4%),13 (4.6%),-1.19,Chi-square,0.0007,601
